seq,t_wall,t_rel,ik_ok,left_human_dx,left_human_dy,left_human_dz,left_human_distance,left_robot_dx,left_robot_dy,left_robot_dz,left_robot_distance,left_error_dx,left_error_dy,left_error_dz,left_error_distance,right_human_dx,right_human_dy,right_human_dz,right_human_distance,right_robot_dx,right_robot_dy,right_robot_dz,right_robot_distance,right_error_dx,right_error_dy,right_error_dz,right_error_distance
1250,1789107649.2208047,42.1109630639985,1,0.3379659340676996,0.10983279189058202,-0.3220337314349575,0.47957266284334316,0.20508974635362162,0.11858482235785901,-0.3430971756351931,0.41694104629058093,-0.13287618771407797,0.008752030467276989,-0.021063444200235593,0.13481968691664978,0.22364622360852862,-0.14172522859879721,-0.1734324974757595,0.31651620011686077,0.18576098106422015,-0.1574568594887196,-0.318822117678422,0.4011824365633988,-0.03788524254430847,-0.015731630889922382,-0.1453896202026625,0.15106593750999028
1251,1789107649.2533405,42.14350146400102,1,0.33825766503569343,0.10918018007389864,-0.3221772533320022,0.4797256947891383,0.20508974635362162,0.11858482235785901,-0.3430971756351931,0.41694104629058093,-0.1331679186820718,0.009404642283960374,-0.020919922303190897,0.1351287719613247,0.22678351196537364,-0.14271475094257757,-0.18178560551629785,0.3237966457653287,0.18576098106422015,-0.1574568594887196,-0.318822117678422,0.4011824365633988,-0.04102253090115349,-0.014742108546142024,-0.13703651216212415,0.14380258506536775
1252,1789107649.2894537,42.179613319000055,1,0.3388342172715454,0.10753562639647651,-0.3221575269865089,0.47974786078998477,0.20508974635362162,0.11858482235785901,-0.3430971756351931,0.41694104629058093,-0.13374447091792377,0.0110491959613825,-0.020939648648684195,0.13582391953569417,0.231009531264206,-0.14447884515746706,-0.19319286443462902,0.33401051345938265,0.18576098106422015,-0.1574568594887196,-0.318822117678422,0.4011824365633988,-0.04524855019998586,-0.012978014331252535,-0.12562925324379298,0.1341587470937915
1253,1789107649.323704,42.21182188600142,1,0.3387580439419704,0.10757208677614946,-0.32211163141003185,0.47967141803363433,0.20520836439227688,0.11857936442152571,-0.34305232943171887,0.41696095645958875,-0.13354967954969352,0.011007277645376248,-0.02094069802168702,0.1356288682494391,0.23397928072645138,-0.14381125467786243,-0.2062609443830543,0.3434698792602897,0.18453923926586033,-0.15654214932989388,-0.3154015385492967,0.39754031979776433,-0.049440041460591055,-0.01273089465203145,-0.10914059416624239,0.1204909236134677
1254,1789107649.3552344,42.24539572199865,1,0.3393330030399052,0.10546203726843319,-0.32212227487714595,0.479616396955855,0.20520836439227688,0.11857936442152571,-0.34305232943171887,0.41696095645958875,-0.13412463864762833,0.013117327153092523,-0.02093005455457292,0.13638016772117392,0.23478020526906254,-0.14416900870753557,-0.21933323049695796,0.3521555250995337,0.18453923926586033,-0.15654214932989388,-0.3154015385492967,0.39754031979776433,-0.050240966003202214,-0.012373140622358308,-0.09606830805233874,0.10911630989835858
1255,1789107649.3878245,42.27798573700056,1,0.34024681990240635,0.10260934734937739,-0.3220634820705168,0.4796055286384341,0.20520836439227688,0.11857936442152571,-0.34305232943171887,0.41696095645958875,-0.13503845551012947,0.015970017072148318,-0.020988847361202045,0.13758981657592892,0.23491383402909252,-0.14568108042655148,-0.23058537271077562,0.35996819404033836,0.18453923926586033,-0.15654214932989388,-0.3154015385492967,0.39754031979776433,-0.050374594763232194,-0.010861068903342402,-0.08481616583852108,0.09924386430823078
1256,1789107649.4209945,42.311048203999235,1,0.340864435886017,0.1006816648459693,-0.3220678282334284,0.4796384547459115,0.2053254138394142,0.11862331420730263,-0.3430295449134635,0.41701233186248704,-0.13553902204660281,0.01794164936133333,-0.020961716680035103,0.13831891716366412,0.23463428772893993,-0.1463648807824163,-0.2407767487122492,0.3666733833058509,0.18391867340375126,-0.15576909925856758,-0.3130169436245137,0.39505657532365307,-0.050715614325188674,-0.009404218476151277,-0.07224019491226452,0.08876462483720886
1257,1789107649.453817,42.34397907699895,1,0.34114281852187256,0.098943615227229,-0.3222045285182549,0.47956649155351977,0.2053254138394142,0.11862331420730263,-0.3430295449134635,0.41701233186248704,-0.13581740468245837,0.01967969898007363,-0.020825016395208618,0.13880684159826445,0.23606102488578964,-0.14748010810675788,-0.2509073597865654,0.37473950012291923,0.18391867340375126,-0.15576909925856758,-0.3130169436245137,0.39505657532365307,-0.052142351482038385,-0.0082889911518097,-0.06210958383794829,0.08151768272537153
1258,1789107649.4876328,42.377795497999614,1,0.3413597445554256,0.09791165606794924,-0.3221430947231667,0.47946776854626316,0.2053254138394142,0.11862331420730263,-0.3430295449134635,0.41701233186248704,-0.13603433071601143,0.020711658139353384,-0.02088645019029678,0.1391781438221762,0.23883117648400734,-0.14939055812859126,-0.2588697840618508,0.3825851994248292,0.18391867340375126,-0.15576909925856758,-0.3130169436245137,0.39505657532365307,-0.05491250308025608,-0.006378541129976323,-0.054147159562662917,0.07738206297450599
1259,1789107649.5211475,42.41130933599925,1,0.34123047059692213,0.09782784944173596,-0.32199018713016536,0.47925588446915374,0.2054483406291994,0.11867523212934838,-0.34302092243227994,0.41708054931216637,-0.13578212996772274,0.020847382687612423,-0.021030735302114578,0.13897370978297627,0.24091642842577746,-0.1506382893498763,-0.2640767049409869,0.3879035006237748,0.18401659079969415,-0.15514719819527928,-0.312027970853989,0.39407386793930543,-0.056899837626083305,-0.004508908845402976,-0.047951265913002084,0.07454693611081702
